CD_REFNIS,AGE_MEDIAN,TX_DESCR_NL,TX_DESCR_FR
57018,42,Celles (Doornik),Celles (Tournai)
57027,41,Estaimpuis,Estaimpuis
57062,42,Pecq,Pecq
57064,41,Péruwelz,Péruwelz
57072,44,Rumes,Rumes
57081,43,Doornik,Tournai
57093,41,Brunehaut,Brunehaut
57094,42,Leuze-en-Hainaut,Leuze-en-Hainaut
57095,42,Mont-de-l’Enclus,Mont-de-l’Enclus
57096,40,Moeskroen,Mouscron
57097,43,Komen-Waasten,Comines-Warneton
58000,42,Arrondissement La Louvière,Arrondissement de La Louvière
58001,41,La Louvière,La Louvière
58002,43,Binche,Binche
58003,42,Estinnes,Estinnes
58004,42,Morlanwelz,Morlanwelz
60000,41,Provincie Luik,Province de Liège
61000,41,Arrondissement Hoei,Arrondissement de Huy
61003,41,Amay,Amay
61010,40,Burdinne,Burdinne
61012,41,Clavier,Clavier
61019,42,Ferrières,Ferrières
61024,44,Hamoir,Hamoir
61028,38,Héron,Héron
61031,42,Hoei,Huy
61039,40,Marchin,Marchin
61041,40,Modave,Modave
61043,46,Nandrin,Nandrin
61048,42,Ouffet,Ouffet
61063,40,Verlaine,Verlaine
61068,39,Villers-Le-Bouillet,Villers-Le-Bouillet
61072,42,Wanze,Wanze
61079,42,Anthisnes,Anthisnes
61080,39,Engis,Engis
61081,41,Tinlot,Tinlot
62000,41,Arrondissement Luik,Arrondissement de Liège
62003,42,Ans,Ans
62006,44,Awans,Awans
62009,42,Aywaille,Aywaille
62011,42,Bitsingen,Bassenge
62015,41,Beyne-Heusay,Beyne-Heusay
62022,47,Chaudfontaine,Chaudfontaine
62026,42,Comblain-au-Pont,Comblain-au-Pont
62027,41,Dalhem,Dalhem
62032,45,Esneux,Esneux
62038,45,Fléron,Fléron
62051,40,Herstal,Herstal
62060,43,Juprelle,Juprelle
62063,38,Luik,Liège
62079,43,Oupeye,Oupeye
62093,39,Saint-Nicolas (Luik),Saint-Nicolas (Liège)
62096,40,Seraing,Seraing
62099,41,Soumagne,Soumagne
62100,41,Sprimont,Sprimont
62108,42,Wezet,Visé
62118,41,Grâce-Hollogne,Grâce-Hollogne
62119,44,Blegny,Blegny
62120,41,Flémalle,Flémalle
62121,47,Neupré,Neupré
62122,41,Trooz,Trooz
63000,42,Arrondissement Verviers,Arrondissement de Verviers
63001,43,Amel,Amblève
63003,44,Aubel,Aubel
63004,41,Baelen,Baelen
63012,45,Büllingen,Bullange
63013,45,Bütgenbach,Butgenbach
63020,36,Dison,Dison
63023,43,Eupen,Eupen
63035,42,Herve,Herve
63038,43,Jalhay,Jalhay
63040,45,Kelmis,La Calamine
63045,41,Lierneux,Lierneux
63046,40,Limburg,Limbourg
63048,42,Lontzen,Lontzen
63049,44,Malmedy,Malmedy
63057,42,Olne,Olne
63058,40,Pepinster,Pepinster
63061,46,Raeren,Raeren
63067,43,Sankt Vith,Saint-Vith
63072,47,Spa,Spa
63073,41,Stavelot,Stavelot
63075,43,Stoumont,Stoumont
63076,43,Theux,Theux
63079,38,Verviers,Verviers
63080,41,Weismes,Waimes
63084,42,Welkenraedt,Welkenraedt
63086,43,Trois-Ponts,Trois-Ponts
63087,44,Burg-Reuland,Burg-Reuland
63088,43,Plombières,Plombières
63089,40,Thimister-Clermont,Thimister-Clermont
64000,42,Arrondissement Borgworm,Arrondissement de Waremme
64008,40,Berloz,Berloz
64015,40,Braives,Braives
64021,43,Crisnée,Crisnée
64023,42,Donceel,Donceel
64025,42,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher
64029,39,Geer,Geer
64034,42,Hannuit,Hannut
64047,42,Lijsem,Lincent
64056,41,Oerle,Oreye
64063,42,Remicourt,Remicourt
64065,42,Saint-Georges-sur-Meuse,Saint-Georges-sur-Meuse
64074,44,Borgworm,Waremme
64075,39,Wasseiges,Wasseiges
64076,42,Faimes,Faimes
70000,44,Provincie Limburg,Province du Limbourg
71000,43,Arrondissement Hasselt,Arrondissement de Hasselt
71002,42,As,As
71004,41,Beringen,Beringen
71011,44,Diepenbeek,Diepenbeek
71016,42,Genk,Genk
71017,43,Gingelom,Gingelom
71020,45,Halen,Halen
71022,44,Hasselt,Hasselt
71024,44,Herk-de-Stad,Herck-la-Ville
71034,42,Leopoldsburg,Bourg-Léopold
71037,44,Lummen,Lummen
71045,45,Nieuwerkerken (Hasselt),Nieuwerkerken (Hasselt)
71053,46,Sint-Truiden,Saint-Trond
71057,45,Tessenderlo,Tessenderlo
71066,44,Zonhoven,Zonhoven
71067,46,Zutendaal,Zutendaal
71069,42,Ham,Ham
71070,42,Heusden-Zolder,Heusden-Zolder
72000,44,Arrondissement Maaseik,Arrondissement de Maaseik
72003,44,Bocholt,Bocholt
72004,44,Bree,Bree
72018,46,Kinrooi,Kinrooi
72020,45,Lommel,Lommel
72021,45,Maaseik,Maaseik
72030,44,Peer,Peer
72037,46,Hamont-Achel,Hamont-Achel
72038,43,Hechtel-Eksel,Hechtel-Eksel
72039,42,Houthalen-Helchteren,Houthalen-Helchteren
72041,43,Dilsen-Stokkem,Dilsen-Stokkem
72042,43,Oudsbergen,Oudsbergen
72043,44,Pelt,Pelt
73000,45,Arrondissement Tongeren,Arrondissement de Tongres
73001,46,Alken,Alken
73006,43,Bilzen,Bilzen
73009,46,Borgloon,Looz
73022,45,Heers,Heers
73028,52,Herstappe,Herstappe
73032,45,Hoeselt,Hoeselt
73040,45,Kortessem,Kortessem
73042,47,Lanaken,Lanaken
73066,45,Riemst,Riemst
73083,46,Tongeren,Tongres
73098,46,Wellen,Wellen
73107,42,Maasmechelen,Maasmechelen
73109,46,Voeren,Fourons
80000,40,Provincie Luxemburg,Province du Luxembourg
81000,39,Arrondissement Aarlen,Arrondissement d’Arlon
81001,38,Aarlen,Arlon
81003,38,Attert,Attert
81004,39,Aubange,Aubange
81013,37,Martelange,Martelange
81015,40,Messancy,Messancy
82000,38,Arrondissement Bastenaken,Arrondissement de Bastogne
82003,37,Bastenaken,Bastogne
82005,35,Bertogne,Bertogne
82009,38,Fauvillers,Fauvillers
82014,41,Houffalize,Houffalize
82032,41,Vielsalm,Vielsalm
82036,35,Vaux-sur-Sûre,Vaux-sur-Sûre
82037,40,Gouvy,Gouvy
82038,41,Sainte-Ode,Sainte-Ode
83000,42,Arrondissement Marche-en-Famenne,Arrondissement de Marche-en-Famenne
83012,45,Durbuy,Durbuy
83013,45,Erezée,Erezée
83028,40,Hotton,Hotton
83031,45,La Roche-en-Ardenne,La Roche-en-Ardenne
83034,41,Marche-en-Famenne,Marche-en-Famenne
83040,39,Nassogne,Nassogne
83044,41,Rendeux,Rendeux
83049,41,Tenneville,Tenneville
83055,40,Manhay,Manhay
84000,40,Arrondissement Neufchâteau,Arrondissement de Neufchâteau
84009,39,Bertrix,Bertrix
84010,47,Bouillon,Bouillon
84016,45,Daverdisse,Daverdisse
84029,43,Herbeumont,Herbeumont
84033,34,Léglise,Léglise
84035,39,Libin,Libin
84043,37,Neufchâteau (Neufchâteau),Neufchâteau (Neufchâteau)
84050,40,Paliseul,Paliseul
84059,43,Saint-Hubert,Saint-Hubert
84068,41,Tellin,Tellin
84075,43,Wellin,Wellin
84077,38,Libramont-Chevigny,Libramont-Chevigny
85000,40,Arrondissement Virton,Arrondissement de Virton
85007,41,Chiny,Chiny
85009,38,Etalle,Etalle
85011,46,Florenville,Florenville
85024,41,Meix-devant-Virton,Meix-devant-Virton
85026,39,Musson,Musson
85034,38,Saint-Léger (Virton),Saint-Léger (Virton)
85039,37,Tintigny,Tintigny
85045,41,Virton,Virton
85046,37,Habay,Habay
85047,41,Rouvroy,Rouvroy
90000,41,Provincie Namen,Province de Namur
91000,42,Arrondissement Dinant,Arrondissement de Dinant
91005,42,Anhée,Anhée
91013,42,Beauraing,Beauraing
91015,41,Bièvre,Bièvre
91030,41,Ciney,Ciney
91034,43,Dinant,Dinant
91054,44,5,Gedinne,Gedinne
91059,38,Hamois,Hamois
91064,39,Havelange,Havelange
91072,41,Houyet,Houyet
91103,41,Onhaye,Onhaye
91114,42,Rochefort,Rochefort
91120,42,Somme-Leuze,Somme-Leuze
91141,41,Yvoir,Yvoir
91142,49,Hastière,Hastière
91143,51,Vresse-sur-Semois,Vresse-sur-Semois
92000,40,Arrondissement Namen,Arrondissement de Namur
92003,40,Andenne,Andenne
92006,39,Assesse,Assesse
92035,40,Eghezée,Eghezée
92045,41,Floreffe,Floreffe
92048,41,Fosses-la-Ville,Fosses-la-Ville
92054,40,Gesves,Gesves
92087,41,Mettet,Mettet
92094,41,Namen,Namur
92097,38,Ohey,Ohey
92101,42,Profondeville,Profondeville
92114,40,Sombreffe,Sombreffe
92137,41,Sambreville,Sambreville
92138,38,Fernelmont,Fernelmont
92140,40,Jemeppe-sur-Sambre,Jemeppe-sur-Sambre
92141,40,La Bruyère,La Bruyère
92142,39,Gembloux,Gembloux
93000,43,Arrondissement Philippeville,Arrondissement de Philippeville
93010,42,Cerfontaine,Cerfontaine
93014,44,Couvin,Couvin
93018,44,Doische,Doische
93022,42,Florennes,Florennes
93056,44,Philippeville,Philippeville
93088,43,Walcourt,Walcourt
93090,46,Viroinval,Viroinval
