CD_REFNIS,MALE,FEMALE,TOTAL,TX_DESCR_NL,TX_DESCR_FR
42023,5398,5403,10801,Waasmunster,Waasmunster
42025,12622,13193,25815,Wetteren,Wetteren
42026,5741,5931,11672,Wichelen,Wichelen
42028,10503,10622,21125,Zele,Zele
43000,42511,42724,85235,Arrondissement Eeklo,Arrondissement d’Eeklo
43002,7093,7163,14256,Assenede,Assenede
43005,10424,10710,21134,Eeklo,Eeklo
43007,3194,3240,6434,Kaprijke,Kaprijke
43010,11889,11885,23774,Maldegem,Maldegem
43014,3415,3368,6783,Sint-Laureins,Sint-Laureins
43018,6496,6358,12854,Zelzate,Zelzate
44000,277844,282678,560522,Arrondissement Gent,Arrondissement de Gand
44012,5125,5558,10683,De Pinte,De Pinte
44013,8929,9342,18271,Destelbergen,Destelbergen
44019,17450,17997,35447,Evergem,Evergem
44020,6320,6485,12805,Gavere,Gavere
44021,130718,131501,262219,Gent,Gand
44034,11106,11383,22489,Lochristi,Lochristi
44040,5652,6084,11736,Melle,Melle
44043,12108,12552,24660,Merelbeke,Merelbeke
44045,3240,3241,6481,Moerbeke (Gent),Moerbeke (Gand)
44048,5702,5917,11619,Nazareth,Nazareth
44052,6804,6786,13590,Oosterzele,Oosterzele
44064,4057,4335,8392,Sint-Martens-Latem,Sint-Martens-Latem
44073,3811,3960,7771,Wachtebeke,Wachtebeke
44081,7897,7823,15720,Zulte,Zulte
44083,21625,21946,43571,Deinze,Deinze
44084,14497,14409,28906,Aalter,Aalter
44085,12803,13359,26162,Lievegem,Lievegem
45000,61380,62962,124342,Arrondissement Oudenaarde,Arrondissement d’Audenarde
45035,15524,15869,31393,Oudenaarde,Audenarde
45041,13004,13475,26479,Ronse,Renaix
45059,7264,7537,14801,Brakel,Brakel
45060,3221,3267,6488,Kluisbergen,Kluisbergen
45061,3193,3204,6397,Wortegem-Petegem,Wortegem-Petegem
45062,980,1056,2036,Horebeke,Horebeke
45063,3311,3305,6616,Lierde,Lierde
45064,3077,3266,6343,Maarkedal,Maarkedal
45065,4018,4130,8148,Zwalm,Zwalin
45068,7788,7853,15641,Kruisem,Kruisem
46000,124437,128086,252523,Arrondissement Sint-Niklaas,Arrondissement de Saint-Nicolas
46003,24104,24564,48668,Beveren (Sint-Niklaas),Beveren (Saint-Nicolas)
46013,8276,8469,16745,Kruibeke,Kruibeke
46014,20520,21170,41690,Lokeren,Lokeren
46020,9629,9741,19370,Sint-Gillis-Waas,Sint-Gillis-Waas
46021,38045,39634,77679,Sint-Niklaas (Sint-Niklaas),Saint-Nicolas (Saint-Nicolas)
46024,9041,9404,18445,Stekene,Stekene
46025,14822,15104,29926,Temse,Tamise
50000,654185,690056,1344241,Provincie Henegouwen,Province du Hainaut
51000,62627,65288,127915,Arrondissement Aat,Arrondissement d’Ath
51004,14168,15143,29311,Aat,Ath
51008,6938,7130,14068,Beloeil,Beloeil
51009,5793,6066,11859,Bernissart,Bernissart
51012,1873,1855,3728,Brugelette,Brugelette
51014,3404,3512,6916,Chièvres,Chièvres
51017,2953,3022,5975,Elzele,Ellezelles
51019,1700,1747,3447,Vloesberg,Flobecq
51065,5809,6005,11814,Frasnes-lez-Anvaing,Frasnes-lez-Anvaing
51067,6710,7107,13817,Edingen,Enghien
51068,4153,4171,8324,Opzullik,Silly
51069,9126,9530,18656,Lessen,Lessines
52000,192714,203925,396639,Arrondissement Charleroi,Arrondissement de Charleroi
52010,7067,7670,14737,Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont
52011,98802,103465,202267,Charleroi,Charleroi
52012,17358,18545,35903,Châtelet,Châtelet
52015,15194,16105,31299,Courcelles,Courcelles
52018,5495,5821,11316,Farciennes,Farciennes
52021,11097,11821,22918,Fleurus,Fleurus
52022,8575,9231,17806,Fontaine-l’Evêque,Fontaine-l’Evêque
52025,6126,6590,12716,Gerpinnes,Gerpinnes
52048,4786,5326,10112,Montigny-le-Tilleul,Montigny-le-Tilleul
52055,8437,8934,17371,Pont-à-Celles,Pont-à-Celles
52074,5176,5567,10743,Aiseau-Presles,Aiseau-Presles
52075,4601,4850,9451,Les Bons Villers,Les Bons Villers
53000,125034,133965,258999,Arrondissement Bergen,Arrondissement de Mons
53014,9410,10414,19824,Boussu,Boussu
53020,7998,8646,16644,Dour,Dour
53028,10424,11510,21934,Frameries,Frameries
53039,3298,3530,6828,Hensies,Hensies
53044,5052,5331,10383,Jurbeke,Jurbise
53046,2217,2308,4525,Lens,Lens
53053,46434,49179,95613,Bergen,Mons
53065,9143,9864,19007,Quaregnon,Quaregnon
53068,3267,3555,6822,Quiévrain,Quiévrain
53070,11160,12151,23311,Saint-Ghislain,Saint-Ghislain
53082,10097,10714,20811,Colfontaine,Colfontaine
53083,2587,2572,5159,Honnelles,Honnelles
53084,3947,4191,8138,Quévy,Quévy
55000,51135,53398,104533,Arrondissement Zinnik,Arrondissement de Soignies
55004,10770,11131,21901,’s Gravenbrakel,Braine-le-Comte
55035,4280,4436,8716,Le Roeulx,Le Roeulx
55040,13595,14421,28016,Zinnik,Soignies
55050,5434,5725,11159,Ecaussinnes,Ecaussinnes
55085,5605,5828,11433,Seneffe,Seneffe
55086,11451,11857,23308,Manage,Manage
56000,45094,46584,91678,Arrondissement Thuin,Arrondissement de Thuin
56001,6004,6257,12261,Anderlues,Anderlues
56005,3567,3557,7124,Beaumont,Beaumont
56016,4825,4980,9805,Chimay,Chimay
56022,4855,5148,10003,Erquelinnes,Erquelinnes
56029,2012,1947,3959,Froidchapelle,Froidchapelle
56044,2852,2980,5832,Lobbes,Lobbes
56049,2116,2150,4266,Merbes-le-Château,Merbes-le-Château
56051,2667,2638,5305,Momignies,Momignies
56078,7238,7464,14702,Thuin,Thuin
56086,6578,7045,13623,Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes
56088,2380,2418,4798,Sivry-Rance,Sivry-Rance
57000,109315,114102,223417,Arrondissement Doornik-Moeskroen,Arrondissement de Tournai-Mouscron
57003,3742,3945,7687,Antoing,Antoing
57018,2802,2864,5666,Celles (Doornik),Celles (Tournai)
57027,5139,5339,10478,Estaimpuis,Estaimpuis
57062,2824,2874,5698,Pecq,Pecq
57064,8394,8765,17159,Péruwelz,Péruwelz
57072,2550,2617,5167,Rumes,Rumes
57081,34041,35329,69370,Doornik,Tournai
57093,4017,4063,8080,Brunehaut,Brunehaut
57094,6738,7112,13850,Leuze-en-Hainaut,Leuze-en-Hainaut
57095,1901,1863,3764,Mont-de-l’Enclus,Mont-de-l’Enclus
57096,28388,30086,58474,Moeskroen,Mouscron
57097,8779,9245,18024,Komen-Waasten,Comines-Warneton
58000,68266,72794,141060,Arrondissement La Louvière,Arrondissement de La Louvière
58001,39167,41590,80757,La Louvière,La Louvière
58002,16055,17418,33473,Binche,Binche
58003,3828,3937,7765,Estinnes,Estinnes
58004,9216,9849,19065,Morlanwelz,Morlanwelz
60000,541775,565217,1106992,Provincie Luik,Province de Liège
61000,55779,57630,113409,Arrondissement Hoei,Arrondissement de Huy
61003,7011,7401,14412,Amay,Amay
61010,1631,1607,3238,Burdinne,Burdinne
61012,2276,2361,4637,Clavier,Clavier
61019,2510,2425,4935,Ferrières,Ferrières
61024,1949,1931,3880,Hamoir,Hamoir
61028,2657,2718,5375,Héron,Héron
61031,10284,10943,21227,Hoei,Huy
61039,2700,2769,5469,Marchin,Marchin
61041,2110,2102,4212,Modave,Modave
61043,2827,2926,5753,Nandrin,Nandrin
61048,1364,1412,2776,Ouffet,Ouffet
61063,2098,2130,4228,Verlaine,Verlaine
61068,3215,3281,6496,Villers-Le-Bouillet,Villers-Le-Bouillet
61072,6716,7022,13738,Wanze,Wanze
