CD_REFNIS,MS_SEX,<65 year,>=65year,TOTAL,,TX_DESCR_FR
21016,MAN,32234,6297,38531,Ukkel,Uccle
21016,VROUW,34868,9625,44493,Ukkel,Uccle
21017,TOTAL,20059,5125,25184,Watermaal-Bosvoorde,Watermael-Boitsfort
21017,MAN,9598,2046,11644,Watermaal-Bosvoorde,Watermael-Boitsfort
21017,VROUW,10461,3079,13540,Watermaal-Bosvoorde,Watermael-Boitsfort
21018,TOTAL,46952,9708,56660,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert
21018,MAN,22594,3678,26272,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert
21018,VROUW,24358,6030,30388,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert
21019,TOTAL,33760,8064,41824,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre
21019,MAN,16293,3208,19501,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre
21019,VROUW,17467,4856,22323,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre
23000,TOTAL,518339,119102,637441,Arrondissement Halle-Vilvoorde,Arrondissement de Hal-Vilvorde
23000,MAN,258307,52225,310532,Arrondissement Halle-Vilvoorde,Arrondissement de Hal-Vilvorde
23000,VROUW,260032,66877,326909,Arrondissement Halle-Vilvoorde,Arrondissement de Hal-Vilvorde
23002,TOTAL,27051,6107,33158,Asse,Asse
23002,MAN,13491,2652,16143,Asse,Asse
23002,VROUW,13560,3455,17015,Asse,Asse
23003,TOTAL,20567,4684,25251,Beersel,Beersel
23003,MAN,10346,2108,12454,Beersel,Beersel
23003,VROUW,10221,2576,12797,Beersel,Beersel
23009,TOTAL,1791,368,2159,Bever,Biévène
23009,MAN,915,172,1087,Bever,Biévène
23009,VROUW,876,196,1072,Bever,Biévène
23016,TOTAL,34067,8780,42847,Dilbeek,Dilbeek
23016,MAN,16802,3829,20631,Dilbeek,Dilbeek
23016,VROUW,17265,4951,22216,Dilbeek,Dilbeek
23023,TOTAL,7127,1619,8746,Galmaarden,Gammerages
23023,MAN,3578,726,4304,Galmaarden,Gammerages
23023,VROUW,3549,893,4442,Galmaarden,Gammerages
23024,TOTAL,7223,1947,9170,Gooik,Gooik
23024,MAN,3646,872,4518,Gooik,Gooik
23024,VROUW,3577,1075,4652,Gooik,Gooik
23025,TOTAL,30222,7320,37542,Grimbergen,Grimbergen
23025,MAN,14938,3109,18047,Grimbergen,Grimbergen
23025,VROUW,15284,4211,19495,Grimbergen,Grimbergen
